time	fh20	fch4	fco2	fother	fco
-0.00552447093576	-0.00475583714236	-0.00502800954809	0.0274956146213	-0.00942609798056	-0.016984876321	
-0.00383447093576	-0.00327820138507	-0.00484909202623	0.027963758152	-0.00910033756703	-0.0163838556543	
-0.00214447093576	-0.00182075323381	-0.00467125860993	0.0284289836326	-0.00877630757254	-0.0157854758193	
-0.000454470935757	-0.00038321688352	-0.00449450273034	0.0288913092519	-0.00845399880519	-0.0151897252125	
0.00123552906424	0.0010346797028	-0.0043188178584	0.0293507530854	-0.00813340212194	-0.0145965922813	
0.00291552906424	0.00242498600252	-0.00414522764293	0.0298046398269	-0.00781639038234	-0.0140095521224	
0.00460552906424	0.00380451664292	-0.00397165911523	0.0302583906534	-0.00749918063533	-0.0134216047674	
0.00629552906424	0.00516519999911	-0.00379914228222	0.0307093131428	-0.00718365588675	-0.0128362408013	
0.00798552906424	0.00650729356453	-0.00362767077142	0.0311574249248	-0.00686980718598	-0.0122534488727	
0.00967552906424	0.00783105131477	-0.00345723824897	0.0316027435194	-0.00655762562996	-0.0116732176804	
0.0113655290642	0.00913672375554	-0.00328783841938	0.032045286337	-0.00624710236293	-0.0110955359726	
0.0130555290642	0.0104245579701	-0.0031194650253	0.0324850706798	-0.00593822857616	-0.0105203925473	
0.0147455290642	0.0116947976661	-0.00295211184731	0.032922113742	-0.0056309955077	-0.00994777625146	
0.0164355290642	0.0129476832216	-0.00278577270366	0.0333564326107	-0.00532539444218	-0.009377675981	
0.0181155290642	0.0141761893747	-0.0026214167892	0.0337854982802	-0.00502321063782	-0.00881343188711	
0.0198055290642	0.0153951739109	-0.00245708140881	0.0342144354673	-0.00472083808768	-0.00824831582561	
0.0214955290642	0.0165975045597	-0.00229374177717	0.0346406989867	-0.00442007172169	-0.00768568283419	
0.0231855290642	0.0177834088481	-0.00213139186082	0.035064305504	-0.00412090300791	-0.00712552200244	
0.0248755290642	0.0189531111947	-0.00197002566281	0.0354852715809	-0.0038233234597	-0.00656782246792	
0.0265655290642	0.0201068329521	-0.00180963722255	0.035903613676	-0.00352732463553	-0.0060125734159	
0.0282555290642	0.0212447924485	-0.00165022061557	0.0363193481451	-0.00323289813868	-0.00545976407918	
0.0299455290642	0.0223672050296	-0.00149176995329	0.0367324912422	-0.00294003561704	-0.00490938373787	
0.0316355290642	0.0234742830988	-0.0013342793828	0.0371430591199	-0.00264872876288	-0.00436142171916	
0.0333155290642	0.0245598189756	-0.00117866654169	0.0375486610729	-0.00236067933061	-0.00381908846876	
0.0350055290642	0.025636941336	-0.00102307314231	0.0379541415696	-0.00207244998097	-0.00327591711118	
0.0366955290642	0.026699347944	-0.000868422521868	0.0383570946097	-0.00178575168768	-0.00273513240058	
0.0383855290642	0.0277472398478	-0.000714708967832	0.0387575359475	-0.00150057631787	-0.00219672385024	
0.0400755290642	0.0287808153486	-0.000561926802283	0.039155481239	-0.00121691578187	-0.00166068101952	
0.0417655290642	0.0298002700385	-0.000410070381709	0.0395509460427	-0.000934762032975	-0.00112699351366	
0.0434555290642	0.0308057968376	-0.000259134096791	0.03994394582	-0.00065410706722	-0.000595650983574	
0.0451455290642	0.0317975860299	-0.0001091123722	0.0403344959361	-0.000374942923166	-6.66431256375e-05	
0.0468355290642	0.0327758253001	4.00003336121e-05	0.0407226116602	-9.72616816618e-05	0.00046004031849	
0.0485155290642	0.0337350294008	0.000187335197703	0.0411060330242	0.000177314500893	0.000981313571821	
0.0502055290642	0.0346867991277	0.000334651654279	0.0414893395738	0.000452062185351	0.00150339238677	
0.0518955290642	0.0356255656825	0.000481075483966	0.0418702568824	0.000725350427219	0.00202317723351	
0.0535855290642	0.0365515067156	0.000626612095409	0.0422487998426	0.000997186978965	0.00254067819153	
0.0552755290642	0.0374647974506	0.000771266864485	0.0426249832543	0.00126757955188	0.00305590529605	
0.0569655290642	0.0383656107171	0.000915045134494	0.0429988218252	0.00153653581628	0.00356886853818	
0.0586555290642	0.0392541169836	0.00105795221636	0.0433703301711	0.00180406340175	0.00407957786512	
0.0603455290642	0.0401304843895	0.00119999338883	0.0437395228171	0.00207016989735	0.00458804318038	
0.0620355290642	0.0409948787771	0.00134117389866	0.0441064141973	0.00233486285182	0.00509427434394	
0.0637155290642	0.0418424532576	0.0014806711408	0.0444688679313	0.00259659598363	0.00559530540636	
0.0654055290642	0.042683458557	0.00162015095463	0.0448312131296	0.00285849259551	0.00609711074866	
0.0670955290642	0.0435129739587	0.00175878562573	0.0451912997439	0.0031189980289	0.00659671120261	
0.0687855290642	0.0443311564389	0.00189658027502	0.0455491418526	0.00337811967364	0.00709411645628	
0.0704755290642	0.045138160829	0.00203353999242	0.0459047534461	0.00363586488035	0.00758933615519	
0.0721655290642	0.0459341398452	0.00216966983697	0.0462581484279	0.00389224096056	0.00808237990248	
0.0738555290642	0.0467192441172	0.00230497483708	0.0466093406144	0.004147255187	0.00857325725908	
0.0755455290642	0.047493622217	0.00243945999069	0.0469583437365	0.00440091479376	0.00906197774393	
0.0772355290642	0.0482574206864	0.00257313026545	0.0473051714388	0.00465322697648	0.00954855083413	
0.0789155290642	0.0490063567048	0.00270520681559	0.0476478041705	0.00490271777955	0.0100301257546	
0.0806055290642	0.0497494880459	0.00283726686453	0.0479903343017	0.00515236441606	0.0105124448879	
0.0822955290642	0.050482466653	0.00296852672894	0.0483307293609	0.00540068494518	0.0109926447536	
0.0839855290642	0.0512054312338	0.00309899125732	0.0486690026567	0.00564768641111	0.0114707346635	
