c time(ms)      fgas     fh20     fco2     fch4     fco     fother    yh20     yco2     ych4     yco     yother    Xgas
  3.993E+01   0.2754   0.0962   0.0364   0.0425   0.0492   0.0512   0.3493   0.1321   0.1542   0.1786   0.1858   0.9999
  4.193E+01   0.2754   0.0962   0.0364   0.0425   0.0492   0.0512   0.3493   0.1321   0.1542   0.1786   0.1858   1.0000
  4.393E+01   0.2754   0.0962   0.0364   0.0425   0.0492   0.0512   0.3493   0.1321   0.1542   0.1786   0.1858   1.0000
  4.593E+01   0.2755   0.0962   0.0364   0.0425   0.0492   0.0512   0.3493   0.1321   0.1542   0.1786   0.1858   1.0000
  4.793E+01   0.2755   0.0962   0.0364   0.0425   0.0492   0.0512   0.3493   0.1321   0.1542   0.1786   0.1858   1.0000
  4.993E+01   0.2755   0.0962   0.0364   0.0425   0.0492   0.0512   0.3493   0.1321   0.1542   0.1786   0.1858   1.0000
  5.193E+01   0.2755   0.0962   0.0364   0.0425   0.0492   0.0512   0.3493   0.1321   0.1542   0.1786   0.1858   1.0000
  5.393E+01   0.2755   0.0962   0.0364   0.0425   0.0492   0.0512   0.3493   0.1321   0.1542   0.1786   0.1858   1.0000
  5.593E+01   0.2755   0.0962   0.0364   0.0425   0.0492   0.0512   0.3493   0.1321   0.1542   0.1786   0.1858   1.0000
  5.793E+01   0.2755   0.0962   0.0364   0.0425   0.0492   0.0512   0.3493   0.1321   0.1542   0.1786   0.1858   1.0000
  5.993E+01   0.2755   0.0962   0.0364   0.0425   0.0492   0.0512   0.3493   0.1321   0.1542   0.1786   0.1858   1.0000
